LON,LAT,EDO,CLAVE,ESTACION,jun-25,,
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento R°o Remedios, Cd. de MÇx.",221,,
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de MÇx.",294,,
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de MÇx.",164.25,,
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de MÇx.",223.5,,
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de MÇx.",191.5,,
-99.209444,19.308611,DF,PICACHOAJUSCO,"Planta Pichacho Ajusco PerifÇrico, Cd. de MÇx. SEGIAGUA*",270,,
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de MÇx.",217.5,,
-99.177222,19.328889,DF,POZOCU,"Pozo C.U., Cd. de MÇx. SEGIAGUA*",215.5,,
-99.129444,19.237222,DF,RECLUSORIOSUR,"Pozo reclusorio Sur, Cd. de MÇx. SEGIAGUA*",194.75,,
-99.235556,19.423611,DF,PRESAMIXCOAC,"Presa Mixcoac, Cd. de MÇx. SEGIAGUA*",577.75,,
-99.059444,19.225278,DF,PTARSPACTOPAN,"PTAR San Pedro Actopan, Cd. de MÇx. SEGIAGUA*",208.5,,
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro M†rtir, Cd. de MÇx.",229.25,,
-99.17,19.4,DF,RCMDF,"Radio Comunicaci¢n, Cd. de MÇx.",329,,
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de MÇx.",260.25,,
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora (Santa Cruz Meyehualco), Cd. de MÇx.",211.75,,
-99.000556,19.275,DF,TEQUESQUITE,"San JosÇ Tl†huac RB Tequesquite, Cd. de MÇx. SEGIAGUA*",202.75,,
-99.077778,19.4775,DF,CRAEOCAVM,"San Juan de Arag¢n (CRAE OCAVM), Cd. de MÇx. SEGIAGUA*",152,,
-99.066667,19.466667,DF,SJADF,"San Juan de Arag¢n, Cd. de MÇx.",184.93,,
-99.176389,19.206389,DF,SMTOPILEJO,"San Miguel Topilejo, Cd. de MÇx. SEGIAGUA*",275.5,,
